280608_5.0017;TROS
321504_5.0097;Okole
321603_4.0005;005-Po≥czyn-ZdrÛj
321803_2.0019;Borkowo Ma≥e
320902_2.0038;Parsowo
320903_5.0104;Chmielno
320903_5.0107;G≥odowa
321702_5.0092;Wo≥owe Lasy
320903_5.0120;RÛøany
321301_1.0011;11
321301_1.0012;12
320904_2.0047;Kretomino
321001_5.0014;RychnÛw
321305_2.0017;NaÊmierz
321409_2.0005;Krzywnica
321702_5.0101;Za≥om
320902_2.0045;Stare Bielice
320904_2.0064;Cewlino
321705_2.0060;Czapla
321206_2.0007;Barnim
321501_1.0028;Trzesieka
321502_5.0003;Bia≥owπs
321602_2.0064;PÛ≥chleb
321602_2.0065;Koszanowo
321003_5.0003;RÛøaÒsko
321004_5.0003;Krusze
321102_2.0016;Siad≥o GÛrne
321206_2.0008;WÛjcin
321602_2.0072;PÍczerzyno
321102_2.0010;Ostoja
321205_4.0005;Pyrzyce 5
321404_2.0001;Boguszyce
321502_5.0047;Ostrowπsy
321502_5.0051;Przybkowo
321705_2.0087;Dzikowo
321102_2.0015;Siad≥o Dolne
321402_5.0001;Bobrowniki
321410_2.0017;PÍzino
321705_2.0013;CzechyÒ
321705_2.0014;G≥owaczewo
321004_5.0024;Nawrocko
321402_5.0002;BrÛd
321410_2.0001;Barzkowice
321004_5.0020;Listomie
321004_5.0001;Sitno
321205_4.0008;Pyrzyce 8
321410_2.0013;Lipnik
321004_5.0026;Myúliborzyce
321004_5.0013;G≥azÛw
321004_5.0017;Renice
321202_2.0004;Kozielice
321404_2.0012;P≥oszkowo
321503_4.0007;Bia≥y BÛr 07
321705_2.0019;Kolno
321802_5.0003;KlÍpnica
321104_5.0009;Tanowo
321802_5.0006;Prusinowo
321405_5.0007;Studnica
321705_2.0021;DÍbo≥Íka
321405_5.0005;Mia≥ka
321206_2.0009;Stary Przylep
321404_2.0019;Szemielino
321501_1.0021;Szczecinek 21
321705_2.0050;NagÛrze
321705_2.0026;Lubno
321003_5.0017;Sarbinowo
321104_5.0007;Siedlice
321206_2.0006;Warnice
321408_2.0004;Gogolewo
321410_2.0005;Grabowo
321802_5.0010;Zache≥mie
321102_2.0009;Moczy≥y
321104_5.0115;Trzebieø 5
321104_5.0006;PrzÍsocin
321411_5.0004;Sad≥owo
280503_2.0005;DUDKI
280707_5.0004;Dobrzyki
106103_9.0007;G-7
106103_9.0052;G-52
106106_9.0028;W-28
142605_5.0026;P£OSODRZA
200807_2.0041;BUDY-DZ.£.BUDY
280403_2.0014;R”ØANY
280503_2.0009;GR•DZKIE E£CKIE
280503_2.0011;J DRZEJKI
280706_5.0011;Emilianowo
280707_5.0008;Janiki Ma≥e
106103_9.0027;G-27
106103_9.0037;G-37
142607_2.0001;CIERPIG”RZ
142607_2.0019;STARE RZEWUSKI
106106_9.0047;W-47
106106_9.0038;W-38
280203_5.0003;KRZYØEWO
280203_5.0006;WIERZNO WIELKIE
061201_2.0002;02-ANTON”WKA
061201_2.0008;08-GRANICE
061201_2.0007;07-GOD”W
106103_9.0044;G-44
121201_1.0003;Podlesie
142607_2.0026;W”LKA £YSOWSKA
142607_2.0012;£YS”W
201403_2.0026;OØARKI OLSZANKA
201403_2.0020;MIECZKI
061201_2.0014;14-MAJDAN BOROWSKI
106106_9.0008;W-8
200807_2.0412;BUDY-DZ.ZOFI”WKA
061507_2.0009;S TKI
061507_2.0008;ROZWAD”W
106106_9.0013;W-13
201403_2.0001;CZOCHANIE G”RA
280304_5.0005;CiechanÛwko
061507_2.0015;ULAN-MAJORAT
200807_2.0415;BUDY-DZ.WODZI£”WK
280304_5.0008;D≥utowo Stare
280409_5.0005;£ CZE
280503_2.0019;LASKI WIELKIE
061507_2.0002;G•SIORY
101202_2.0008;WIEWI”R”W
101202_2.0010;ZDANIA
106103_9.0056;G-56
121810_2.0005;NIDEK
200807_2.0002;BOGUSZKI
280503_2.0021;£OJE
106106_9.0015;W-15
142605_5.0006;KLIMONTY
142605_5.0007;KOLONIA MORDY
201403_2.0023;NOWE ZALESIE
280401_2.0006;DRUØNO
280401_2.0007;GRONOWO G”RNE
101209_2.0005;£ADZICE
101209_2.0008;STOBIECKO SZLACHECKIE
201202_2.0022;W”LKA
280503_2.0024;MAZUROWO
280503_2.0025;MAØE
280706_5.0026;Nipkowie
106103_9.0008;G-8
280404_2.0010;RACHOWO
106103_9.0009;G-9
106106_9.0019;W-19
200807_2.0010;MILEWO
280503_2.0003;D£UGIE
280503_2.0028;PI TKI
106106_9.0033;W-33
142605_5.0027;ROG”ZIEC
200807_2.0012;NIEWIAROWO
201403_2.0037;SZLASY £OPIENITE
201403_2.0011;KALIN”WKA WIELOBORY
106103_9.0034;G-34
201202_2.0009;JEMIELISTE
201405_2.0060;WIåNIEWO
201405_2.0043;RYKACZE
241601_1.0002;DZIECHCIARZE
101205_5.0016;SZPINAL”W
201303_5.0211;CZYØEW KOåCIELNY
201303_5.0039;KACZYN STARY
101205_5.0015;SI”DEMKA
201303_5.0009;D•BROWA-CHERUBINY
101205_5.0006;GORZ D”W
201303_5.0008;CZYØEW-Z£OTE JAB£KO
201303_5.0013;D•BROWA-SZATANKI
201405_2.0023;KRAJEWO BIA£E
201405_2.0057;WDZI KO— DRUGI
201303_5.0036;SIENNICA-åWI CHY
040903_5.0008;DπbrÛwka
321805_5.0014;Goúcis≥aw
221105_2.0002;Mechelinki
280502_2.0053;TALUSY
060603_2.0022;WiúniÛw
040307_2.0015;Szczutki
040307_2.0016;TrzemiÍtowo
040903_5.0048;Wasielewko
040903_5.0050;Wieniec
321805_5.0024;Sulice
321805_5.0013;RogÛwko
280502_2.0017;KONIECZKI
041803_2.0018;Sieroszewo
060407_2.0041;Bokinia
060605_2.0004;JaúlikÛw
321804_5.0021;Øerzyno
040903_5.0038;Wiecanowo
040202_2.0006;CZEKANOWO
040903_5.0014;Goryszewo
040903_5.0015;Huta Padniewska
040903_5.0053;Zbytowo
060407_2.0043;Wola UchaÒska
060407_2.0047;Bia≥owody
060605_2.0008;Krynica
041304_4.0002;WiÍcbork 2
060605_2.0015;OstrÛw Krupski
060605_2.0016;RoÒsko
060605_2.0019;StÍøyca £ÍczyÒska
061810_2.0009;Poturzyn
040202_2.0009;GRAB”WIEC
060404_2.0090;Szpiko≥osy
060404_2.0091;DziekanÛw
060605_2.0026;Bia≥ka Pso
060606_2.0015;SurhÛw
180303_2.0005;Golemki
040203_2.0001;CIEL TA
041410_2.0011;Ma≥e £πkie
321804_5.0022;Sienno
060407_2.0055;£uszczÛw
180303_2.0008;Jaüwiny
280502_2.0027;MO£DZIE
041410_2.0020;Tuszyny
041411_2.0001;Bπkowo
061810_2.0016;NowosiÛ≥ki-Osada
220506_2.0001;Borucino
326201_1.4062;Dπbie 62
041810_2.0018;Zosin
060408_2.0162;Dobromierzyce
060408_2.0163;Hostynne Kolonia
060408_2.0166;WilkÛw
060606_2.0001;Anielpol
280502_2.0031;NOWA WIEå E£CKA
040903_5.0031;Padniewo
060402_2.0229;WÛlka PoturzyÒska
060402_2.0261;Ch≥opiatyn
220904_2.0002;Czerwone Stogi
040203_2.0012;MSZANO
041411_2.0016;Rulewo
321805_5.0002;Zwierzynek
060408_2.0172;Strzyøowiec
061806_5.0021;PukarzÛw
040203_2.0018;SZABDA
061702_2.0004;Janowice
280502_2.0038;PRZYTU£Y
040203_2.0020;SZYMKOWO
040307_2.0003;Kruszyniec
040903_5.0054;Øabienko
040903_5.0037;Przyjma
041810_2.0001;Barcikowo
061702_2.0006;JÛzefÛw Kolonia
040307_2.0009;OsÛwiec
040903_5.0042;Szerzawy
041803_2.0014;£πki Markowe
060407_2.0471;Bia≥owody Kolonia 1
060408_2.0277;Honiatyczki
061813_2.0008;Krzewica
061813_2.0010;Magdalenka
220904_2.0012;Stogi
040307_2.0012;Sitno
041803_2.0015;£πczewna
060402_2.0245;Koúciaszyn
060407_2.0035;Aurelin
061806_5.0027;Zimno
220904_2.0014;Tragamin
280502_2.0047;SORDACHY
040903_5.0006;Czarnotul
326201_1.2001;Pogodno 1
326201_1.2254;Pogodno 254
326201_1.3039;Nad Odrπ 39
326201_1.2028;Pogodno 28
326201_1.2163;Pogodno 163
326201_1.3035;Nad Odrπ 35
326201_1.1061;årÛdmieúcie 61
326201_1.4101;Dπbie 101
326201_1.4103;Dπbie 103
326201_1.1011;årÛdmieúcie 11
326201_1.3048;Nad Odrπ 48
326201_1.2153;Pogodno 153
326201_1.1018;årÛdmieúcie 18
326201_1.2071;Pogodno 71
326201_1.2134;Pogodno 134
326201_1.4057;Dπbie 57
326201_1.1086;årÛdmieúcie 86
326201_1.2067;Pogodno 67
326201_1.4151;Dπbie 151
326201_1.4069;Dπbie 69
326201_1.4178;Dπbie 178
326201_1.3100;Nad Odrπ 100
326201_1.2139;Pogodno 139
326201_1.1106;årÛdmieúcie 106
326201_1.1057;årÛdmieúcie 57
326201_1.2097;Pogodno 97
326201_1.2027;Pogodno 27
326201_1.4214;Dπbie 214
326201_1.4144;Dπbie 144
326201_1.1072;årÛdmieúcie 72
326201_1.3026;Nad Odrπ 26
326201_1.1027;årÛdmieúcie 27
326201_1.4304;Dπbie 304
326201_1.2072;Pogodno 72
326201_1.2150;Pogodno 150
326201_1.1050;årÛdmieúcie 50
326201_1.4184;Dπbie 184
326201_1.2048;Pogodno 48
326201_1.1069;årÛdmieúcie 69
326201_1.3099;Nad Odrπ 99
326201_1.3009;Nad Odrπ 9
326201_1.3078;Nad Odrπ 78
326201_1.3070;Nad Odrπ 70
326201_1.4199;Dπbie 199
041805_2.0022;Szczutkowo
041807_2.0003;Che≥mica Ma≥a
041807_2.0004;Cyprianka
046401_1.0652;W≥oc≥awek KM 65/2
060610_2.0005;Rudka
061703_5.0033;StefanÛwka
062014_2.0029;Zalesie
062014_2.0032;ZwÛdne
062014_2.0035;Topornica Kolonia
180304_2.0005;KÍdzierz
180304_2.0012;StasiÛwka
180404_2.0005;Morawsko
180404_2.0008;Sobiecin
180404_2.0009;SurochÛw
180404_2.0011;Wola Buchowska
062004_5.0005;HutkÛw
062004_5.0014;Stara Huta
062004_5.0015;Szur
062009_2.0003;Kolonia Czeúniki
062009_2.0014;StabrÛw
062012_2.0012;Kol.Su≥Ûw
062014_2.0025;WÛlka PanieÒska
180304_2.0002;Brzeünica
181101_1.0004;Moúciska
181101_1.0006;Wojs≥aw
061809_2.0007;PaÒkÛw
061809_2.0013;Tymin
061809_2.0014;WieprzÛw Ordynacki
061809_2.0016;Tarnawatka-Osada
061812_5.0010;Niedüwiedzia GÛra
061812_5.0019;Zam≥ynie
062008_2.0007;Gruszka Zaporska
062014_2.0004;Bortatycze
046401_1.2210;Michelin KM 21
046401_1.0180;W≥oc≥awek KM 18
060611_2.0002;BorÛwek
060611_2.0005;Ch≥aniÛw
041105_5.0026;åWI•TNIKI
060611_2.0012;Koszarsko
040705_5.0002;Broniewice
046401_1.0007;RÛzinowo
046401_1.1080;W≥oc≥awek KM 108
046401_1.1181;W≥oc≥awek KM 118/1
060611_2.0020;Siniec
060611_2.0021;årednia Wieú
040402_2.0013;Osnowo
041105_5.0004;GRADOWO
046401_1.0010;W≥oc≥awek KM 01
061002_2.0003;DratÛw
061803_2.0006;JarczÛw-Kolonia Druga
041805_2.0027;Wilkowiczki
046401_1.0230;W≥oc≥awek KM 23
061002_2.0010;KrzczeÒ
040402_2.0018;Wielkie £unawy
041105_5.0008;KATARZYNA
041105_5.0011;£AB DZIN
041406_5.0004;KoÒczyce
061004_2.0001;AntoniÛw
061004_2.0005;Cyganka
040601_2.0024;Wa≥dowo Szlacheckie
040705_5.0007;GÛry
041105_5.0013;NOWA WIEå
041105_5.0033;WYMYS£OWO STAWISKA
041105_5.0014;PALCZEWO
061004_2.0020;Staroúcice
061004_2.0021;WÛlka Bielecka
061803_2.0015;Szlatyn
040601_2.0003;Dusocin
040705_5.0011;Ludzisko
046401_1.2180;Michelin KM 18
046401_1.0900;W≥oc≥awek KM 90
040601_2.0005;Grabowiec
046401_1.0020;W≥oc≥awek KM 2
061703_5.0010;Gardzienice Drugie
061703_5.0011;Gie≥czew
040705_5.0015;Skalmierowice
041407_2.0011;TleÒ
041508_2.0003;Ma≥a Nieszawka
046401_1.0060;W≥oc≥awek KM 6
046401_1.0791;W≥oc≥awek KM 79/1
046401_1.1040;W≥oc≥awek KM 104
040705_5.0016;SosnÛwiec
041105_5.0022;RUDZK MA£Y
060607_2.0010;£opiennik Podleúny
061703_5.0019;Kozice GÛrne
061703_5.0021;Kozice Dolne Kolonia
061703_5.0023;Majdan KawÍczyÒski
061703_5.0024;Majdan Kozic GÛrnych
061703_5.0026;Majdanek Kozicki
046401_1.0920;W≥oc≥awek KM 92
046401_1.1150;W≥oc≥awek KM 115
040601_2.0016;Ruda
280402_2.0012;KWITAJNY WIELKIE
281505_2.0008;MA£DYTY
281802_2.0016;RAK”WEK
021907_2.0029;WitoszÛw Dolny
021907_2.0020;Opoczka
021907_2.0028;Wiúniowa
021907_2.0010;KrzczonÛw
281306_2.0019;URBANKI
241707_2.0004;Kocierz Rychwa≥dzki
281306_2.0020;WIELICZKI
281505_2.0010;SAMBR”D
142613_2.0010;GRODZISK
021907_2.0004;Bystrzyca Dolna
021907_2.0013;Lutomia Dolna
181408_2.0004;Gorzyce
281505_2.0017;ZAJEZIERZE
181105_2.0040;Ksiπønice
220603_2.0006;Miedzno
220608_2.0001;Bartoszylas
280105_2.0004;BUKOWIEC
280402_2.0013;LESISKA
326101_1.0012;0012
326101_1.0030;0030
280105_2.0005;CZYPRKI
280405_2.0011;ZAJ•CZKOWO
281802_2.0012;LINOWO
221107_2.0020;Starzyno
280405_2.0003;KAMIENNIK WIELKI
326101_1.0045;0045
326101_1.0032;0032
326101_1.0033;0033
321506_2.0034;Brzeüno
321506_2.0113;Turowo
101208_2.0004;KOLONIA LGOTA WLK.
220608_2.0010;Konarzyny
220608_2.0011;Lipy
220608_2.0013;Nowy Bukowiec
280105_2.0057;ZI BY
321506_2.0119;DrawieÒ
141001_2.0007;JUNIEWICZE
141001_2.0002;DZIADKOWSKIE
220608_2.0017;Stara Kiszewa
326101_1.0037;0037
142613_2.0013;IZDEBKI-KOåMIDRY
280105_2.0008;DOBRZYNKA
280105_2.0059;ØU£AWY
281203_2.0001;BOLESZYN
281203_2.0003;KOWALIKI
180803_2.0046;Kolonia Polska
280406_5.0005;KRASKOWO
281304_5.0011;JAåKI
280105_2.0052;WOJMIANY
220502_4.0103;103
320104_5.0048;Czarnkowo
326101_1.0008;0008
321506_2.0019;Krπg≥e
220505_2.0007;Ostrzyce
280402_2.0006;GODKOWO
280402_2.0007;GR•DKI
281306_2.0011;MARKOWSKIE
181201_2.0021;PÍk
220505_2.0014;Somonino
280105_2.0014;GL•DY
326101_1.0028;0028
280903_2.0037;STRYJKOWO
281410_2.0028;TR KUS
181406_2.0002;Gorliczyna
321303_2.0002;Bobolin
281408_2.0002;KOLNO
281408_2.0003;KOMINKI
061408_5.0003;BRONICE-KOLONIA
280803_2.0023;LANGANKI
280903_2.0006;NOWA WIEå WIELKA
281408_2.0008;TARNINY
181201_2.0007;Huta PodgÛrna
181201_2.0012;£azory
181403_2.0001;Bia≥oboki
200801_5.5437;WROCE—
321303_2.0013;KopaÒ
320306_5.0050;RzÍúnica
280408_2.0004;JELONKI
281204_2.0018;WIELKIE BA£”WKI
321303_2.0016;Kowalewiczki
280803_2.0029;NAKOMIADY
320301_5.0058;Brzezinka
181405_5.0010;R•CZYNA
280903_2.0011;KASZUNY
281402_5.0025;ZABRODZIE DWORZEC
281410_2.0002;BUTRYNY
280408_2.0007;LEPNO
281202_2.0003;CZACH”WKI
321603_5.0060;Red≥o
181406_2.0007;RozbÛrz
280803_2.0002;BA£TRUCIE
280803_2.0003;BANASZKI
281402_5.0027;ADAMOWO
061408_5.0011;PIOTROWICE
200103_2.0009;JUDZIKI
281202_2.0004;FITOWO
320301_5.0065;Kuünica Drawska
200801_5.0002;BUDNE ØARNOWO
200801_5.0006;KLEWIANKA
280803_2.0006;CZERNIKI
320301_5.0083;OstrorÛg
320301_5.0070;Piaseczno
321603_5.0110;Popielewo
321603_5.0087;Nowe Ludzicko
321603_5.0099;RzÍsna
200801_5.0311;OLSZOWA DROGA
320906_5.0205;Jacinki
200103_2.0012;KROSZ”WKA
280408_2.0010;RYCHLIKI
320301_5.0076;Psie G≥owy
321603_5.0117;Po≥czyÒska
321603_5.0084;Kapice
321603_5.0104;Gaworkowo
321603_5.0112;Kocury
321603_5.0130;TychÛwko
321603_5.0129;Ostre Bardo
281410_2.0007;KABORNO
061408_5.0009;LUDWIN”W
200801_5.2106;W”LKA P-BAGNO I
320906_5.0210;Stary ØelibÛrz
320906_5.0213;Wielin
280803_2.0037;POR BEK
280903_2.0022;BOBROWNIK
281410_2.0013;MARCINKOWO
061502_2.0003;KRASEW KOLONIA
321304_2.0014;Malechowo
061109_2.0016;åWIERCZE
061109_2.0015;SZANIAWY-PONIATY
280903_2.0024;LAUDA
281410_2.0016;NOWA WIEå
180804_2.0021;Giedlarowa
180804_2.0023;Maleniska
280704_5.0001;Biskupiczki
321503_5.0120;Dyminek
280803_2.0042;SMOKOWO
280903_2.0028;POMOROWO
281401_5.0011;KRUPOLINY
281410_2.0018;PAJTUNY
180804_2.0033;Przychojec
200103_2.0029;TOBY£KA
280704_5.0002;Butowo
281204_2.0007;LIPOWIEC
281204_2.0008;MA£E BA£”WKI
321304_2.0025;Zielenica
061109_2.0011;P£UDY
200801_5.3112;OLSZOWA DR. GON. LAS
200801_5.3113;OLSZOWA DR. KROPIEW.
321503_5.0123;Drzonowo
281401_5.0012;LAMKOWO
281204_2.0011;NIELBARK
061109_2.0019;TRZEBIESZ”W KOLONIA
061109_2.0017;TRZEBIESZ”W
321505_2.0008;Miesza≥ki
281402_5.0021;STANCLEWO
320906_5.0059;Karsinka
321505_2.0009;Radusz
321505_2.0010;Kamionka
200804_5.0012;ZOFI”WKA
200905_2.0020;OLSZANKA
201006_2.0012;POKANIEWO
201006_2.0014;ROGACZE
326201_1.4048;Dπbie 48
201205_2.0016;PLANTA
200903_2.0025;SMOLANY D•B
201004_2.0017;KOSIANKA STARA
200905_2.0040;MARKISZKI
182003_2.0008;Øupawa
326201_1.4085;Dπbie 85
182004_5.0003;Cygany
182004_5.0006;Tarnowska Wola
200106_2.0009;RUBCOWO
201205_2.0022;MA£E RACZKI
200902_2.0006;G£ BOKI BR”D
201004_2.0034;RYBA£TY
201004_2.0037;SYPNIE NOWE
201004_2.0022;KRAK”WKI ZDZICHY
326201_1.3089;Nad Odrπ 89
326301_1.0006;åwinoujúcie 6
200105_2.0004;CIS”WEK
326201_1.4165;Dπbie 165
201205_2.0026;DOWSPUDA
326201_1.1090;årÛdmieúcie 90
201004_2.0025;KRYNKI JARKI
200406_2.0003;JAKI
200903_2.0007;GREMZDEL
326201_1.4060;Dπbie 60
326201_1.4001;Dπbie 1
326201_1.3018;Nad Odrπ 18
326201_1.4046;Dπbie 46
200406_2.0006;KUD£ACZEWO
200406_2.0009;MODZELE
200905_2.0010;KIELCZANY
201004_2.0005;CZAJE I MA£YSZCZYN
201205_2.0032;WRONOWO
326201_1.3011;Nad Odrπ 11
201205_2.0010;KRUK”WEK
200105_2.0016;PODKR”L”WEK
200105_2.0017;PODNOWINKA
200406_2.0010;NIEBRZYDY
326201_1.4073;Dπbie 73
200903_2.0016;£OPUCHOWO
200905_2.0014;KRASNOGRUDA
201004_2.0011;GRODZISK
201205_2.0035;ØUBRYNEK
326201_1.3081;Nad Odrπ 81
326201_1.4031;Dπbie 31
201006_2.0005;GRABARKA
326201_1.4076;Dπbie 76
200105_2.0022;SZCZEBRA
200905_2.0035;DWORCZYSKO
201006_2.0011;NOWOSI”£KI
326201_1.4189;Dπbie 189
200602_2.0028;Stawiane
201104_5.0002;CH£ODNE W£”KI
281508_5.0026;WENECJA
281903_5.0031;WILKOWO
320305_2.0066;BÍdlino
321604_2.0086;Stare Ludzicko
321604_2.0125;BiernÛw
321604_2.0013;Do≥ganÛw
321605_2.0018;S≥owieÒsko
321606_2.0080;Bierzwnica
326101_1.0042;0042
320305_2.0091;Soúnica
320305_2.0092;åwierczyna
320305_2.0063;Øabin
320305_2.0058;Øabinek
321605_2.0009;Trzciana
321606_2.0023;Cieszyno
182004_4.0002;PorÍby DÍbskie
201208_2.0042;GRAUØE STARE
281903_5.0032;WYSIECZE
200605_5.0012;Ignacewo
200605_5.0013;Jurzec Szlachecki
201105_2.0005;CIMANIE
201108_5.0044;SIERBOWCE
201108_5.0045;S£OJNIKI
201207_2.0043;WYCHODNE
201208_2.0008;CZERWONKA
200602_2.0006;Golanki
200602_2.0302;åwidry - Dobrzyce 200602_2.0302
201207_2.0020;MA£A HUTA
200602_2.0008;Grabowskie
201103_2.0020;PRZES£AWKA
201207_2.0045;ZIELONE KAMEDULSKIE
200605_5.0035;Zalesie gm. Stawiski
201103_2.0023;SKINDZIERZ
201108_5.0009;GILBOWSZCZYZNA SZYNDZIEL
201208_2.0027;MIKO£AJ”WKA
201207_2.0026;OKUNIOWIEC
201207_2.0028;OSOWA
281903_5.0009;KALSKIE NOWINY
201108_5.0050;SZYSZKI
201207_2.0030;P£OCICZNO-TARTAK
201207_2.0032;POTASZNIA
281508_5.0005;CHOJNIK
320303_5.0077;Borowo
320303_5.0088;Bralin
200602_2.0019;£ubiane
201207_2.0034;SOBOLEWO
201208_2.0048;WIATRO£UØA DRUGA
201208_2.0034;PRZEJMA MA£A
201208_2.0036;PRZEJMA WYSOKA
320303_5.0079;Jaworze
200605_5.0002;Barzykowo
201105_2.0023;PARCZOWCE
201105_2.0024;POP£AWCE
201207_2.0036;KROPIWNE STARE
201208_2.0050;WYGORZEL
201208_2.0051;ZABORYSZKI
281903_5.0021;R”ØE
201103_2.0009;KRUKOWSZCZYZNA
201104_5.0025;SZACI£Y
201207_2.0038;TACIEWO
020404_5.0013;GÛrka Wπsoska
022502_1.0013;XIII
022302_2.0006;Budziwojowice
021702_2.0018;STACH”W
021502_2.0009;JANK”W
046101_1.0125;0125
046101_1.0252;0252
040704_2.0036;Rad≥Ûwek
041808_5.0016;Mieczys≥awowo
046101_1.0015;0015
041001_5.0006;G≥ogowiniec
041005_5.0010;Stary Jaruøyn
040902_2.0002;Budy Radunek
080103_2.0021;Orzelec
080102_2.0018;Gostkowice
040702_2.0001;Bπkowo
100408_2.0017;PRZY£OGI
046201_1.0055;055
046201_1.0078;078
121701_1.0070;070
046101_1.0369;0369
101706_2.0003;D BIEC FOLWARK
046101_1.0006;0006
046101_1.0232;0232
046101_1.0382;0382
046201_1.0028;028
046101_1.0036;0036
046101_1.0327;0327
046101_1.0352;0352
046101_1.0433;0433
046101_1.0392;0392
046101_1.0501;0501
100510_2.0003;BOGORIA DOLNA
100503_2.0007;MARIANKA
080909_2.0005;Milsko
101902_4.0005;5
046101_1.0147;0147
060111_2.0006;NOWY DW”R
061206_5.0002;02-HENIN WIEå
046101_1.0145;0145
140602_2.0017;GOLIANKI
140801_1.0007;7
140801_1.0001;1
140706_2.0029;Kolonia Rozalin
140501_1.0027;06-06
140606_2.0032;TWORKI
140804_4.0017;17
140801_1.0068;68
200204_2.0028;SOFIPOL
200206_5.0010;£APY KO£PAKI
200107_2.0009;EWY
200204_2.0006;DZIERNIAKOWO
140501_1.0032;06-11
140501_1.0014;05-14
126301_1.0319;0319
140313_2.0015;TARN”W
022201_5.0004;NaborÛw
141401_1.0044;11-03
141802_4.0109;01-09
141702_1.0115;115
141702_1.0109;109
141401_1.0026;7-01
141701_1.0032;32
141702_1.0003;3
141702_1.0249;249
141902_2.0023;M•KOLIN KOLONIA
141804_5.0014;GROCHOWA
141802_4.0113;01-13
141902_2.0029;PARKOCZEWO
141701_1.0042;42
141702_1.0169;169
141702_1.0099;99
143402_1.0054;5-11
141702_1.0218;218
143204_2.0006;GR•DKI
142207_2.0008;FRANKOWO
142603_2.0001;ALBIN”W
143203_2.0019;PINDAL
143206_5.0004;GO£ASZEW
143402_1.0022;2-03
143203_2.0002;BIELINY KAMPINOSKIE
142604_2.0022;ZALIWIE-BRZOZ”WKA
142206_2.0004;CHMIELONEK
142103_4.0008;08
142103_4.0001;01
146518_8.0103;6-01-03
146509_8.0076;3-00-76
146514_8.1243;3-12-43
146511_8.0813;4-08-13
146511_8.1120;4-11-20
146514_8.1002;3-10-02
143409_4.0026;05-06
146511_8.1110;4-11-10
146507_8.0513;3-05-13
146518_8.0317;6-03-17
143401_1.0008;08
146514_8.1353;3-13-53
146514_8.1275;3-12-75
146514_8.1282;3-12-82
146514_8.1299;3-12-99
146514_8.1420;3-14-20
146514_8.1126;3-11-26
146507_8.0515;3-05-15
146514_8.1506;3-15-06
146514_8.1340;3-13-40
146511_8.0918;4-09-18
146511_8.0903;4-09-03
146507_8.0208;3-02-08
146514_8.1330;3-13-30
146511_8.1124;4-11-24
146401_1.0095;95
146509_8.0805;3-08-05
146513_8.0948;1-09-48
146514_8.1133;3-11-33
146503_8.0126;4-01-26
146514_8.2101;3-12-101
146509_8.0709;3-07-09
146504_8.1213;7-12-13
143402_1.0058;5-15
146401_1.0042;42
146503_8.0211;4-02-11
146503_8.1601;4-16-01
146505_8.0224;0224
143702_2.0013;MIANOWO
146503_8.0704;4-07-04
143412_5.0032;ZAGOåCINIEC-02
146502_8.1007;6-10-07
146401_1.0048;48
146505_8.0717;0717
146505_8.0219;0219
146505_8.0237;0237
200506_2.0021;RZEPISKA
201107_2.0013;MAKOWLANY KOL.
201109_5.0041;POåWI TNE
200508_2.0003;CHRABOST”WKA
201009_2.0030;ORZEPY
201101_5.0040;WI•Z”WKA
146516_8.0605;1-06-05
200803_2.0007;GURBICZE
146515_8.0302;8-03-02
146516_8.0627;1-06-27
146518_8.0401;6-04-01
146517_8.0819;2-08-19
200308_2.0032;OSTR”WEK
160305_2.2103;MIERZ CIN
146508_8.1803;4-18-03
146519_8.0209;7-02-09
200305_2.0024;OLSZEWEK
200403_2.0005;CZACHY
160804_5.0008;KICZMACH”W
246401_1.0314;314
246401_1.0129;129
246401_1.0828;28B
246401_1.0247;247
246401_1.0329;329
246401_1.0327;327
246401_1.0039;39
246401_1.0114;114
246401_1.0011;11
246401_1.0188;188
240904_2.0002;DÍbowiec
246101_1.0018;Dolne Przedmieúcie 18
226101_1.0253;253S
241604_2.0020;TRZCINIEC
220404_2.0019;Radunica
240608_2.0002;Bagna
240301_1.0032;32
226101_1.0018;018
247801_1.0186;186
281509_2.0033;SMYK”WKO
281509_2.0029;RY—SKIE
260403_5.0019;GOåCINIEC
260608_2.0017;SMUGI
280504_2.0026;NIEDèWIEDZKIE
280804_5.0010;GIE£PSZ
261301_2.0024;ZABRODZIE
260206_5.0032;WYDANKA
280504_2.0030;POPOWO
260702_2.0003;BORCUCHY
301701_1.0028;28
301701_1.0018;18
301102_5.0014;PIOTROWO DRUGIE
302408_5.0001;BIELAWY
301701_1.0131;131
300306_2.0009;MORACZEWO
301701_1.0104;104
301701_1.0096;96
301203_5.0005;CZARNY SAD
320604_5.0022;Zaborze
303003_5.0202;CHWA£SZYCE
320202_5.0015;RZECZKI
326201_1.4014;Dπbie 14
046401_1.0330;W≥oc≥awek KM 33
046401_1.1060;W≥oc≥awek KM 106
046401_1.0530;W≥oc≥awek KM 53
326201_1.3066;Nad Odrπ 66
326201_1.2151;Pogodno 151
062014_2.0011;Lipsko Kosobudy
326201_1.4133;Dπbie 133
326201_1.3205;Nad Odrπ 205
326201_1.2047;Pogodno 47
046401_1.2130;Michelin KM 13
200807_2.0048;BUDY-PRZYTULANKA-CI
326201_1.3061;Nad Odrπ 61
326201_1.4006;Dπbie 6
280304_5.0013;Koty
280502_2.0057;ZDUNKI
201108_5.0048;STARY SZOR
